,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
640,The Rains,Gregg Hurwitz,92244.0,70.8,5.48,2.38,0.65,1.73,"['Young Adult', 'Horror', 'Science Fiction', 'Zombies', 'Aliens', 'Dystopia', 'Thriller']",2016.0

643,Junkyard,Lindsay Buroker,22263.0,54.12,9.02,2.62,1.01,1.62,"['Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Novella', 'Short Stories', 'Adventure']",2019.0

645,The City Below,Kory M. Shrum,62773.0,44.12,8.61,2.65,0.87,1.78,"['Science Fiction', 'Dystopia']",2020.0

665,Goosebumps: Monster Blood,R. L. Stine,22356.0,69.95,6.42,3.22,1.63,1.58,"['Horror', 'Childrens']",2013.0

666,The Elementalist,J. R. Rain & Matthew S. Cox,54366.0,48.69,7.96,3.2,1.15,2.05,[],

668,Blood Rules,C. M. Sutter,61982.0,39.6,8.64,2.94,0.69,2.25,[],2023.0

677,The Long Sleep,Dean Koontz,41224.0,58.64,8.02,3.04,1.29,1.75,"['Science Fiction', 'Horror']",1975.0

686,Heroes & Harbingers: Secret of Pantheons,A. R. K. Horton,87800.0,48.04,6.45,2.26,0.39,1.87,['Urban Fantasy'],2022.0

691,Wild Card,Alan Lee,51260.0,53.02,6.85,2.42,0.92,1.49,"['Thriller', 'Fiction', 'Espionage']",2019.0

700,Such a Fun Age,Kily Reid,85131.0,48.33,7.58,3.06,1.05,2.01,[],

715,Emergents Academy,K. A. Riley,81458.0,55.49,6.8,2.54,0.82,1.72,"['Dystopia', 'Young Adult']",2021.0

718,The Paper Dragon,D. K. Holmberg,84628.0,27.62,10.73,2.81,0.93,1.87,"['Fantasy', 'Fiction']",2021.0

724,Death in the Congo,David Ness,109942.0,43.53,8.03,2.27,0.63,1.64,[],

736,Ghosts of the Republic,"William S. Frisbee, Jr.",98863.0,31.93,9.45,2.55,0.85,1.7,[],2020.0

740,Three Kings,George R. R. Martin & Melinda M. Snodgrass,108373.0,46.05,9.06,3.36,1.12,2.24,[],

744,Chasing the Lion,A. J. Tata,101382.0,48.34,7.18,2.26,0.85,1.41,[],

746,Zero,Marc Elsberg,112878.0,39.98,7.51,3.69,1.35,2.35,"['Thriller', 'Fiction', 'Science Fiction', 'Crime', 'German Literature', 'Audiobook', 'Roman']",2014.0

747,88 North,J. F. Kirwan,95752.0,64.09,7.1,2.85,0.87,1.98,['Suspense'],2017.0

