title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
Hidden Crown,Emma L. Adams,68949.0,51.23,8.15,2.21,0.61,1.6,"['Fantasy', 'Fae', 'Urban Fantasy', 'Paranormal']",2019
Collision of Lies,Tom Threadgill,96460.0,39.71,8.47,2.37,0.68,1.69,"['Mystery', 'Fiction', 'Christian Fiction', 'Suspense', 'Thriller', 'Contemporary', 'Christian']",2020
Dead Space,Kali Wallace,90907.0,44.78,8.56,2.82,1.07,1.76,"['Science Fiction', 'Mystery', 'Horror', 'Thriller', 'Fiction', 'LGBT', 'Queer']",2021
Lucky Legacy,Joshua James,62564.0,46.99,8.49,3.07,1.24,1.83,"['Science Fiction', 'Fiction', 'Military Fiction', 'Aliens', 'Adventure', 'Space', 'Military Science Fiction']",2018
Dysphoria Rise,Terra Whiteman,57476.0,48.71,8.23,3.05,1.0,2.04,[],2019
The Chandelier,Clarice Lispector,96138.0,58.29,8.51,3.72,1.4,2.32,"['Fiction', 'Brazil', 'Novels', 'Classics', '20th Century', 'Womens', 'Literature']",1946
Dead Man Running,Steve Hamilton,73251.0,45.48,6.91,2.81,0.68,2.14,"['Mystery', 'Fiction', 'Thriller', 'Suspense', 'Crime', 'Detective', 'Audiobook']",2018
Terra’s Fate,Danielle Forrest,56176.0,45.57,7.48,2.67,0.85,1.82,[],2020
Home Truths,Tina Seskis,85751.0,40.08,10.23,4.6,1.43,3.17,"['Fiction', 'Thriller', 'Mystery', 'Mystery Thriller', 'Suspense', 'Psychological Thriller', 'Adult Fiction']",2019
The Kite Maker,Brenda Peynado,7023.0,59.24,8.04,2.39,0.74,1.65,"['Short Stories', 'Science Fiction', 'Fiction', 'Aliens', 'Novella']",2018
The Ember Blade,Chris Wooding,277927.0,55.45,7.79,2.64,0.79,1.85,"['Fantasy', 'Epic Fantasy', 'Fiction', 'High Fantasy', 'Adult', 'Adventure', 'Science Fiction Fantasy']",2018
Gone Woman,A. J. Rivers,61343.0,53.22,8.25,2.74,0.82,1.92,[],nan
The Maggot Colony,Grave Blackened,17529.0,57.78,8.61,2.89,1.09,1.8,[],2019
The Secret Talker,Geling Yan,32316.0,45.36,8.52,3.88,1.33,2.55,"['Fiction', 'Thriller', 'China', 'Mystery', 'Contemporary', 'Mystery Thriller', 'Suspense']",2004
The Price You Pay,Aidan Truhen,74221.0,34.65,10.21,3.6,1.17,2.43,"['Fiction', 'Thriller', 'Crime', 'Mystery', 'Humor', 'Pulp', 'Adult']",2018
The Look-Alike,Erica Spindler,91199.0,41.84,9.11,2.85,0.86,1.99,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Psychological Thriller']",2020
Red the Wolf Tracker,Pauline Creeden,19665.0,50.8,7.91,2.99,0.97,2.02,"['Paranormal', 'Young Adult', 'Shapeshifters', 'Werewolves', 'Retellings', 'Fantasy']",2018
Supernova,Marissa Meyer,147895.0,50.29,8.57,2.9,0.98,1.92,"['Fantasy', 'Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fiction', 'Superheroes']",2019
U. S. S. Seawolf,Patrick Robinson,147979.0,41.52,7.42,3.4,1.3,2.11,"['Fiction', 'Thriller', 'Military Fiction', 'War', 'Adventure', 'Action', 'Spy Thriller']",2000
Zed,Joanna Kavenna,114818.0,35.48,8.77,4.25,1.52,2.73,"['Fiction', 'Science Fiction', 'Dystopia', 'Speculative Fiction', 'Cyberpunk', 'Adult', 'Novels']",2019
Winter Prey,John Sandford,99084.0,57.59,7.56,2.09,0.61,1.48,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Detective', 'Suspense']",1993
V,Thomas Pynchon,172990.0,58.1,7.04,2.64,0.94,1.7,"['Fiction', 'Mystery', 'Crime', 'Novels', 'Noir', 'Literature', 'American']",2009
Vamps and the City,Kerrelyn Sparks,95146.0,51.39,8.58,2.87,0.89,1.98,"['Paranormal Romance', 'Vampires', 'Paranormal', 'Romance', 'Fantasy', 'Urban Fantasy', 'Adult']",2006
A Child Alone with Strangers,Philip Fracassi,167125.0,67.25,6.33,2.9,1.12,1.78,"['Horror', 'Fiction', 'Thriller', 'Adult', 'Mystery']",2022
Sins of the Fathers,J. A. Jance,99424.0,31.68,8.94,3.18,1.05,2.12,[],nan
The Silenced,Brett Battles,92583.0,32.79,9.15,2.94,0.61,2.33,[],nan
Her Final Hour,Rachel Amphlett,75017.0,47.29,7.24,2.3,0.36,1.93,"['Mystery', 'Crime', 'Thriller']",2020
The Unlikeable Demon Hunter: Need,Deborah Wilde,89331.0,62.47,6.91,2.2,0.75,1.45,[],nan
Shatner Rules,William Shatner & Chris Regan,47511.0,40.99,7.82,2.64,1.01,1.62,"['Nonfiction', 'Humor', 'Biography', 'Memoir', 'Star Trek', 'Autobiography', 'Comedy']",2011
Hero on a Mission,Donald Miller,55391.0,22.14,8.56,2.48,0.74,1.73,"['Nonfiction', 'Self Help', 'Business', 'Personal Development', 'Leadership', 'Productivity', 'Audiobook']",2022
The Girls Weekend,Jody Gehrman,84633.0,58.44,7.95,2.3,0.68,1.62,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Suspense', 'Adult']",2020
Wherever She Goes,Kelley Armstrong,78684.0,33.74,9.72,2.82,0.76,2.06,"['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Mystery Thriller', 'Contemporary', 'Canada']",2019
The Colors of All the Cattle,Alexander McCall Smith,70177.0,28.76,10.54,3.66,1.1,2.56,"['Mystery', 'Fiction', 'Africa', 'Cozy Mystery', 'Audiobook', 'Botswana', 'Adult']",2018
Shadow Falls,Wendy Dranfield,98939.0,38.78,9.72,3.07,0.99,2.08,"['Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Fiction', 'Audiobook']",2021
The Cheerleaders,Kara Thomas,86537.0,52.88,7.68,2.01,0.61,1.41,"['Mystery', 'Young Adult', 'Thriller', 'Mystery Thriller', 'Contemporary', 'Fiction', 'Audiobook']",2018
Into the Hourglass,Emily L. King,83434.0,73.77,6.5,2.25,0.63,1.62,[],nan
She’s Too Pretty to Burn,Wendy Heard,75662.0,59.89,8.24,2.36,0.7,1.66,"['LGBT', 'Young Adult', 'Contemporary', 'Thriller', 'Lesbian', 'Mystery', 'Romance']",2021
Hostage to Fortune,Carolyn McCrae,100680.0,22.93,11.59,3.54,1.28,2.26,[],2018
Hunting Game,Helene Tursten,65751.0,59.29,8.02,3.18,1.46,1.73,"['Mystery', 'Fiction', 'Crime', 'Sweden', 'Mystery Thriller', 'Thriller', 'Nordic Noir']",2014
The Injection,D. L. Jones & Devante Cresh,50004.0,39.22,7.01,2.29,0.54,1.75,[],2020
Stargazer,Laurie Petrou,76502.0,52.17,7.11,3.21,1.25,1.96,"['Fiction', 'Contemporary', 'Thriller', 'Literary Fiction', 'Coming Of Age', 'Historical Fiction', 'Mental Health']",2022
The Easy Life,Marguerite Duras,38770.0,43.37,9.04,3.41,1.11,2.3,[],nan
The Remains of the Day,Kazuo Ishiguro,76441.0,23.25,8.8,4.62,1.67,2.95,"['Fiction', 'Historical Fiction', 'Classics', 'Literary Fiction', 'Historical', 'Literature', 'Novels']",1989
A Killing Fire,Faye Snowden,111567.0,50.44,7.67,2.41,0.67,1.74,"['Mystery', 'Fiction', 'Thriller', 'Horror', 'Mystery Thriller', 'Young Adult', 'Suspense']",2019
Dragon’s Honor,Natalie Grey,65945.0,33.75,9.67,3.43,1.24,2.19,[],nan
Master of Souls,Irène Némirovsky,,,,,,,[],nan
Death of an Unsung Hero,Tessa Arlen,91737.0,45.39,7.83,3.24,1.16,2.08,"['Mystery', 'Historical Mystery', 'Historical Fiction', 'Historical', 'Fiction', 'Cozy Mystery', 'British Literature']",2018
Tears of the Trufflepig,Fernando A. Flores,75837.0,61.85,6.44,2.52,0.87,1.65,"['Fiction', 'Science Fiction', 'Fantasy', 'Speculative Fiction', 'Dystopia', 'Novels', 'Literary Fiction']",2019
Goosebumps: Welcome to Camp Nightmare,R. L. Stine,25021.0,66.76,6.54,3.11,1.51,1.6,[],nan
Proxies,James T. Lambert,58250.0,38.21,7.05,2.54,0.86,1.68,[],2022
The Hot Flash Club Strikes Again,Nancy Thayer,110301.0,58.93,7.86,3.17,1.13,2.05,"['Chick Lit', 'Fiction', 'Humor', 'Audiobook', 'Romance', 'Womens Fiction', 'Contemporary']",2004
The Revisionaries,A. R. Moxon,217785.0,51.21,7.84,3.27,1.08,2.2,"['Fiction', 'Fantasy', 'Science Fiction', 'Speculative Fiction', 'Magical Realism', 'Literature', 'Contemporary']",2019
Franchise Affair,Josephine Tey,88771.0,33.03,9.38,3.18,1.06,2.12,"['Mystery', 'Fiction', 'Crime', 'British Literature', 'Classics', 'Mystery Thriller', 'Detective']",1948
Missionaries,Phil Klay,130993.0,39.38,7.64,2.82,0.84,1.98,"['Fiction', 'Historical Fiction', 'War', 'Politics', 'Literary Fiction', 'Contemporary', 'Novels']",2020
Anger and Forgiveness,Martha C. Nussbaum,117123.0,17.0,7.63,4.39,1.88,2.51,"['Philosophy', 'Nonfiction', 'Psychology', 'Politics', 'Self Help', 'Sociology', 'Theology']",2016
Stain,A. G. Howard,164131.0,84.09,5.88,2.19,0.47,1.72,"['Fantasy', 'Retellings', 'Young Adult', 'Romance', 'Young Adult Fantasy', 'Fairy Tales', 'Magic']",2019
The Iron Queen,L. D. Goffigan,54384.0,47.8,6.34,1.6,0.45,1.15,"['Historical Fiction', 'Fiction', 'Ancient']",2018
The Hangman,Louise Penny,11957.0,39.59,9.18,3.01,0.83,2.18,"['Mystery', 'Fiction', 'Canada', 'Short Stories', 'Mystery Thriller', 'Novella', 'Crime']",2010
Quinsey Wolfe’s Glass Vault,Candace Robinson,62262.0,53.63,8.65,2.92,0.82,2.1,"['Fantasy', 'Horror', 'Young Adult', 'Fiction', 'Romance', 'Retellings', 'Mystery']",2022
Our 50-State Border Crisis,Howard G. Buffett,94362.0,33.68,6.68,2.24,0.77,1.47,"['Nonfiction', 'Politics', 'History', 'American']",2018
Noah’s Compass,Anne Tyler,70331.0,46.9,8.92,3.63,1.09,2.53,"['Fiction', 'Contemporary', 'Literary Fiction', 'Family', 'Audiobook', 'Adult Fiction', 'Adult']",2009
I Made a Mistake,Jane Corry,104914.0,32.74,10.7,4.13,1.24,2.89,"['Thriller', 'Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Psychological Thriller', 'Contemporary']",2020
Murder Most Historical,Ashley Gardner,40715.0,56.52,7.91,2.76,0.88,1.88,"['Mystery', 'Historical', 'Historical Mystery', 'Short Stories', 'Historical Fiction', 'Anthologies', 'Regency']",2015
Walk Through Walls,Marina Abramović,,,,,,,"['Art', 'Nonfiction', 'Memoir', 'Biography', 'Biography Memoir', 'Autobiography', 'Audiobook']",2016
Abandoned Ship,Benji Smith,105806.0,46.45,6.97,3.37,1.07,2.31,"['Nonfiction', 'Memoir', 'History', 'Travel', 'Biography', 'Amazon', 'True Story']",2012
The Lust Lizard of Melancholy Cove,Christopher Moore,80660.0,59.37,7.79,2.29,0.59,1.7,"['Humor', 'Fiction', 'Fantasy', 'Comedy', 'Urban Fantasy', 'Audiobook', 'Paranormal']",1999
House of Straw,Marc Scott,139292.0,44.28,8.26,3.0,1.16,1.84,['Fiction'],2018
Fragmented Souls,Kasha Ross,154335.0,61.88,6.59,2.66,0.8,1.86,"['Dystopia', 'Young Adult']",2022
The Outer Dark,Zachary Rawlins,203197.0,48.58,6.94,3.56,1.72,1.84,[],nan
The Judas Code,Derek Lambert,106979.0,49.49,8.65,2.7,0.99,1.71,"['Fiction', 'Historical Fiction']",1984
The Babylon Idol,Scott Mariani,114777.0,50.5,7.54,2.99,1.09,1.89,"['Thriller', 'Adventure', 'Fiction', 'Action', 'Mystery Thriller', 'Crime']",2017
Tom Clancy’s Op-Center: The Black Order,Jeff Rovin,79743.0,41.24,8.6,2.34,0.92,1.42,"['Fiction', 'Thriller', 'Spy Thriller', 'Military Fiction', 'Adult', 'Politics']",2021
Star Wars: Force Collector,Kevin Shinick,70781.0,37.25,9.24,3.29,1.16,2.14,"['Star Wars', 'Science Fiction', 'Young Adult', 'Fiction', 'Fantasy', 'Audiobook', 'Adventure']",2019
The Found and the Lost,Ursula K. Le Guin,272486.0,46.26,7.69,2.6,0.8,1.8,"['Fantasy', 'Science Fiction', 'Fiction', 'Short Stories', 'Anthologies', 'Novella', 'Science Fiction Fantasy']",2016
Nameless,Joe Conlan,164000.0,37.68,8.0,2.59,1.14,1.45,"['Thriller', 'Crime', 'Mystery', 'Mystery Thriller', 'Detective', 'Fiction']",2013
I Just Want You,Kaylee Ryan,72147.0,44.63,7.99,2.59,0.7,1.89,"['Romance', 'New Adult', 'Contemporary', 'Adult', 'Contemporary Romance', 'Fiction', 'Unfinished']",2017
Ready for Romance,Debbie Macomber,43846.0,34.08,9.72,3.43,1.36,2.07,"['Romance', 'Fiction', 'Contemporary Romance', 'Chick Lit', 'Contemporary', 'Anthologies', 'Harlequin Romance']",1999
Black Summer,M. W. Craven,92032.0,46.11,10.71,2.79,0.99,1.8,"['Crime', 'Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense']",2019
Hindsight,Iris Johansen & Roy Johansen,102088.0,34.54,10.37,3.36,1.34,2.02,"['Mystery', 'Suspense', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Romantic Suspense']",2020
Mindwalker,Kate Dylan,98540.0,43.16,8.32,3.09,0.9,2.19,"['Science Fiction', 'Young Adult', 'Fantasy', 'Fiction', 'Dystopia', 'Romance', 'Cyberpunk']",2022
Dark Sky Island,Lara Dearman,87483.0,52.8,8.91,2.79,0.86,1.93,"['Mystery', 'Crime', 'Thriller', 'Detective', 'Mystery Thriller', 'Journalism', 'Fiction']",2018
Living with the Passive-Aggressive Man,Scott Wetzler,57634.0,18.2,8.08,3.42,1.43,1.99,"['Nonfiction', 'Self Help', 'Relationships', 'Psychology']",1992
The Block,Ben Oliver,77308.0,50.38,7.2,2.72,0.82,1.9,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Adventure', 'Audiobook', 'Thriller']",2021
The Sea in Winter,Christine Day,38617.0,73.56,6.42,2.5,0.9,1.6,"['Middle Grade', 'Realistic Fiction', 'Fiction', 'Mental Health', 'Contemporary', 'Family', 'Audiobook']",2021
No Exit,Taylor Adams,72058.0,70.47,7.07,2.94,0.93,2.01,"['Thriller', 'Mystery Thriller', 'Mystery', 'Fiction', 'Horror', 'Suspense', 'Adult']",2018
"Halo, Battle Born",Cassandra Rose Clark,75871.0,62.73,7.01,2.36,0.88,1.48,"['Science Fiction', 'Young Adult', 'Aliens', 'Video Games', 'Adventure', 'Gaming', 'Audiobook']",2019
Lullaby,Amanda Hocking,68567.0,37.55,9.65,3.94,1.51,2.43,"['Fantasy', 'Young Adult', 'Mermaids', 'Paranormal', 'Mythology', 'Romance', 'Fiction']",2012
Noir,Christopher Moore,96612.0,64.04,7.24,2.54,0.49,2.05,"['Fiction', 'Humor', 'Mystery', 'Historical Fiction', 'Noir', 'Audiobook', 'Comedy']",2018
We Could Be Heroes,Mike Chen,91795.0,50.71,6.19,2.9,1.11,1.8,"['Science Fiction', 'Fantasy', 'Fiction', 'Superheroes', 'Contemporary', 'Adult', 'Audiobook']",2021
Other People’s Clothes,Calla Henkel,95723.0,69.89,7.01,2.69,1.09,1.6,"['Fiction', 'Thriller', 'Mystery', 'Contemporary', 'Mystery Thriller', 'Literary Fiction', 'Adult']",2022
The Forgotten Room,Ann Troup,99423.0,40.78,10.49,2.55,0.8,1.76,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Gothic', 'British Literature']",2017
The Story of Western Science,Susan Wise Bauer,74596.0,33.87,6.06,3.07,1.52,1.55,"['Science', 'History', 'Nonfiction', 'Philosophy', 'History Of Science', 'Education', 'World History']",2015
The Scout Mindset,Julia Galef,63407.0,19.38,8.6,3.35,1.46,1.9,"['Psychology', 'Nonfiction', 'Self Help', 'Philosophy', 'Science', 'Business', 'Personal Development']",2019
Edible Woman,Margaret Atwood,102309.0,58.64,9.22,3.7,1.51,2.19,"['Fiction', 'Feminism', 'Canada', 'Classics', 'Literary Fiction', 'Contemporary', 'Novels']",1969
The Philosopher’s Stone,Colin Wilson,110969.0,36.8,7.83,3.71,1.58,2.13,"['Science Fiction', 'Fiction', 'Horror', 'Fantasy', 'Novels', 'Philosophy', 'Lovecraftian']",1969
The Wood Wife,Terri Windling,100706.0,67.3,7.91,2.95,0.82,2.14,"['Fantasy', 'Urban Fantasy', 'Fiction', 'Magical Realism', 'Romance', 'Fairy Tales', 'Science Fiction Fantasy']",1996
Stubborn Attachments,Tyler Cowen,30980.0,18.82,7.55,4.06,1.52,2.54,"['Economics', 'Philosophy', 'Nonfiction', 'Politics', 'Business', 'Society', 'Cultural']",2018
Trust Me,Anna Ryan,107400.0,44.31,9.04,3.3,0.88,2.41,['Thriller'],2018
American Elsewhere,Robert Jackson Bennett,205414.0,56.4,8.44,3.8,1.36,2.44,"['Horror', 'Fantasy', 'Fiction', 'Science Fiction', 'Mystery', 'Paranormal', 'Urban Fantasy']",2013
A Vintage From Atlantis,Clark Ashton Smith,137431.0,62.77,6.07,2.57,1.25,1.32,"['Fantasy', 'Horror', 'Fiction', 'Short Stories', 'Weird Fiction', 'Science Fiction', 'Classics']",2007
Republic of Detours,Scott Borchert,119402.0,31.68,5.55,2.61,1.16,1.44,"['History', 'Nonfiction', 'Travel', 'Politics', 'Writing', 'Books About Books', 'American']",2021
My Lies Your Lies,Susan Lewis,105262.0,35.6,9.96,4.67,2.15,2.52,"['Fiction', 'Thriller', 'Mystery', 'Mystery Thriller', 'Audiobook', 'Contemporary', 'Suspense']",2020
The Trouble with Peace,Joe Abercrombie,191753.0,57.31,7.32,2.9,1.0,1.9,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Audiobook', 'Dark Fantasy', 'Adult', 'High Fantasy']",2020
Comes the War,Ed Ruggero,107027.0,41.76,7.61,2.58,0.69,1.89,"['Historical Fiction', 'Mystery', 'Historical', 'World War II', 'Audiobook', 'British Literature', 'Fiction']",2021
Throne of Eldraine,Kate Elliott,58541.0,67.94,6.63,2.69,0.8,1.9,"['Fantasy', 'Fiction', 'Magic', 'Science Fiction Fantasy']",2019
The Elven,Bernhard Hennen,273221.0,52.34,7.82,3.0,1.08,1.91,"['Fantasy', 'Fiction', 'High Fantasy', 'German Literature', 'Epic Fantasy', 'Audiobook', 'Magic']",2004
Humboldt’s Cosmos,Gerard Helferich,122443.0,54.65,5.41,2.74,1.11,1.62,"['History', 'Nonfiction', 'Science', 'Biography', 'Nature', 'Geography', 'Travel']",2004
Murder at Teal’s Pond,David Bushman & Mark T. Givens,85692.0,40.02,6.62,2.72,1.2,1.52,"['True Crime', 'Nonfiction', 'History', 'Mystery', 'Crime', 'Thriller', 'Historical']",2022
Justice Resurrected,Allen Berner,81145.0,34.34,8.0,2.65,0.64,2.01,[],2021
The Thief Who Stole A Planet,Ty Patterson,40254.0,42.36,9.04,2.58,1.11,1.47,[],2018
Primordia,Greig Beck,86388.0,62.79,6.53,3.22,1.02,2.2,"['Science Fiction', 'Adventure', 'Fantasy', 'Fiction', 'Thriller', 'Dinosaurs', 'Horror']",2017
The Breach,M. T. Hill,85090.0,71.39,6.82,2.53,0.86,1.67,"['Horror', 'Science Fiction', 'Fiction', 'Fantasy']",2020
The Darwin Affair,Tim Mason,105675.0,50.19,7.31,3.1,1.32,1.78,"['Historical Fiction', 'Mystery', 'Fiction', 'Thriller', 'Audiobook', 'Historical', 'Mystery Thriller']",2019
Chasing Shadows,Tom DeLonge & A. J. Hartley,152168.0,48.04,7.85,2.88,1.08,1.81,"['Fiction', 'Science Fiction', 'Mystery', 'Aliens', 'Conspiracy Theories', 'Thriller', 'Science Fiction Fantasy']",2016
Not Dark Yet,Berit Ellingsen,57876.0,84.22,5.82,2.84,0.9,1.94,"['Fiction', 'Science Fiction', 'Queer', 'Climate Change Fiction', 'LGBT', 'Dystopia', 'Speculative Fiction']",2015
The Killer Inside,Cass Green,82706.0,47.43,8.32,3.87,1.43,2.45,"['Thriller', 'Audiobook', 'Fiction', 'Mystery Thriller', 'Mystery', 'Crime', 'Adult']",2019
Clan,Sigmund Brouwer,44617.0,62.7,7.1,2.57,0.63,1.94,[],nan
The Apology,Eve Ensler,26013.0,34.28,8.81,3.36,1.25,2.11,"['Nonfiction', 'Memoir', 'Feminism', 'Psychology', 'Mental Health', 'Biography', 'Abuse']",2019
Self-Portrait with Nothing,Aimee Pokwatka,89524.0,68.66,8.82,2.47,0.67,1.8,"['Science Fiction', 'Fiction', 'Fantasy', 'Magical Realism', 'Literary Fiction', 'Mystery', 'Contemporary']",2022
Lady Jayne Disappears,Joanna Davidson Politano,100774.0,55.66,6.54,3.03,1.22,1.81,"['Historical Fiction', 'Christian Fiction', 'Mystery', 'Romance', 'Fiction', 'Historical', 'Christian']",2017
The Lost Boy,Rob Costa,14621.0,24.57,10.1,3.27,1.2,2.07,[],2018
The Deep Blue Goodbye,John D. MacDonald,58050.0,53.51,7.73,2.68,0.88,1.8,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Detective', 'Noir', 'Mystery Thriller']",1964
Black Rock Bay,Brianna Labuskes,98524.0,48.67,9.0,3.09,0.98,2.11,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Suspense', 'Crime', 'Audiobook']",2019
Nabbed in the Nasturtiums,Dale Mayer,71660.0,27.27,10.06,4.17,1.46,2.72,"['Mystery', 'Cozy Mystery', 'Animals']",2021
Welcome to the Game,Craig Henderson,91563.0,41.7,8.24,2.84,0.91,1.93,"['Thriller', 'Fiction', 'Mystery Thriller', 'Mystery', 'Crime']",2022
Into Bones like Oil,Kaaron Warren,26357.0,59.7,9.52,2.69,0.68,2.0,"['Horror', 'Fiction', 'Novella', 'Fantasy', 'Paranormal', 'Adult', 'Ghosts']",2019
Sleepwalk,Dan Chaon,103238.0,56.27,8.19,2.81,1.12,1.69,"['Fiction', 'Science Fiction', 'Thriller', 'Mystery', 'Dystopia', 'Mystery Thriller', 'Audiobook']",2022
What She Doesn’t Know,Andrew E. Kaufman,74801.0,55.18,7.48,3.4,0.98,2.41,"['Thriller', 'Fiction', 'Mystery', 'Psychological Thriller', 'Mystery Thriller', 'Suspense', 'Crime']",2018
Thrown,Sara Cox,82019.0,60.1,7.6,3.34,1.4,1.94,"['Fiction', 'Contemporary', 'Chick Lit', 'Womens Fiction', 'Romance']",2022
The Art of Power,Thich Nhat Hanh,45603.0,24.22,9.6,2.57,0.91,1.66,"['Buddhism', 'Philosophy', 'Spirituality', 'Nonfiction', 'Self Help', 'Religion', 'Leadership']",2007
A Hat Full of Sky,Terry Pratchett,77484.0,52.45,8.88,3.43,1.29,2.15,"['Fantasy', 'Young Adult', 'Fiction', 'Humor', 'Childrens', 'Magic', 'Audiobook']",2004
Blood World,Chris Mooney,126770.0,45.98,8.25,2.61,0.85,1.76,"['Fiction', 'Thriller', 'Science Fiction', 'Suspense', 'Dystopia', 'Mystery', 'Crime']",2020
Death of an American Beauty,Mariah Fredericks,71824.0,40.37,8.94,3.02,0.85,2.17,"['Mystery', 'Historical Fiction', 'Historical Mystery', 'Historical', 'Fiction', 'Crime', 'New York']",2020
"Thinking, Fast and Slow",Daniel Kahneman,148649.0,18.72,7.46,3.21,1.55,1.66,"['Nonfiction', 'Psychology', 'Science', 'Self Help', 'Business', 'Economics', 'Personal Development']",2011
Girl with a Camera,Carolyn Meyer,61536.0,49.05,7.83,2.8,1.01,1.79,"['Historical Fiction', 'Young Adult', 'Historical', 'Fiction', 'Art', 'Photography', 'Young Adult Historical Fiction']",2017
Cold Waters,Debbie Herbert,91413.0,59.24,7.6,2.78,1.06,1.72,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Suspense', 'Crime', 'Audiobook']",2019
Time Break,Jill Cooper,63457.0,48.07,9.46,2.42,0.56,1.85,[],nan
Substitute,Susi Holliday,78854.0,51.1,8.95,3.22,0.96,2.26,"['Thriller', 'Mystery', 'Mystery Thriller', 'Science Fiction', 'Fiction', 'Audiobook', 'Psychological Thriller']",2021
Good Trouble,Joseph O’Neill,41739.0,41.62,8.2,3.26,1.41,1.85,"['Short Stories', 'Fiction', 'Literary Fiction', 'Short Story Collection', 'Contemporary']",2018
James Baldwin: Living in Fire,Bill V. Mullen,71499.0,29.54,5.06,2.64,1.16,1.48,"['Biography', 'Nonfiction', 'LGBT', 'Gay']",2019
Wood’s Fury,Steven Becker,86096.0,54.53,7.44,2.14,0.74,1.4,"['Adventure', 'Fiction']",2019
Dead Inside,Noelle Holten,85618.0,32.4,9.47,2.83,1.02,1.81,"['Mystery', 'Crime', 'Thriller', 'Fiction', 'Detective', 'Mystery Thriller', 'Audiobook']",2019
The Christmas Spirits on Tradd Street,Karen White,129370.0,48.69,8.25,3.16,1.16,2.0,"['Mystery', 'Christmas', 'Fiction', 'Paranormal', 'Audiobook', 'Holiday', 'Ghosts']",2019
Checkpoint,Jean-Christophe Rufin,82072.0,46.49,9.13,3.14,1.21,1.93,[],nan
Capital and Ideology,Thomas Piketty,343441.0,14.26,5.0,3.48,1.82,1.67,"['Economics', 'Nonfiction', 'Politics', 'History', 'Philosophy', 'Business', 'Finance']",2019
The Piazza Tales,Herman Melville,78306.0,51.11,5.51,3.74,1.42,2.33,"['Classics', 'Fiction', 'Literature', 'Short Stories', 'American', '19th Century', 'Own']",1924
The Stone Sky,N. K. Jemisin,110879.0,51.67,8.38,3.75,1.33,2.42,"['Fantasy', 'Fiction', 'Science Fiction', 'Dystopia', 'Science Fiction Fantasy', 'Audiobook', 'Adult']",2017
The Glass Forest,Cynthia Swanson,104910.0,51.9,7.79,2.99,1.02,1.97,"['Mystery', 'Fiction', 'Historical Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Historical']",2018
Sometimes a Great Notion,Ken Kesey,281033.0,59.86,6.22,2.84,0.86,1.99,"['Fiction', 'Classics', 'Literature', 'Novels', 'Literary Fiction', 'American', 'Historical Fiction']",1964
Temple of My Familiar,Alice Walker,139298.0,49.28,8.01,3.59,1.28,2.31,"['Fiction', 'African American', 'Feminism', 'Classics', 'Magical Realism', 'Historical Fiction', 'Literature']",1989
Sandstorm,James Rollins,160385.0,71.42,5.67,2.19,0.8,1.39,"['Thriller', 'Fiction', 'Adventure', 'Mystery', 'Action', 'Science Fiction', 'Mystery Thriller']",2004
Bless His Cursed Soul,Meg Collett,69649.0,58.71,7.54,2.09,0.65,1.44,"['Urban Fantasy', 'Mystery']",2019
The Chosen,J. R. Ward,158753.0,45.61,8.44,2.95,0.89,2.06,[],nan
The Silver Ring Mystery,Helen Wells,39454.0,33.76,8.1,3.52,1.2,2.32,['Mystery'],1960
Inception,Bianca Scardoni,108337.0,40.55,7.85,3.33,1.41,1.93,"['Fantasy', 'Paranormal', 'Vampires', 'Young Adult', 'Romance', 'Paranormal Romance', 'Angels']",2015
The Other Mother,Carol Goodman,90338.0,43.75,9.32,3.0,0.8,2.19,"['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Mystery Thriller', 'Audiobook', 'Gothic']",2018
Kingdom Come,James Osiris Baldwin,168671.0,61.22,6.44,2.47,0.96,1.51,['Fantasy'],2019
D.O.D.O.,Neal Stephenson & Nicole Galland,,,,,,,"['Science Fiction', 'Fantasy', 'Fiction', 'Time Travel', 'Historical Fiction', 'Audiobook', 'Magic']",2017
I Follow You,Peter James,102713.0,43.54,8.55,3.69,1.52,2.18,"['Thriller', 'Fiction', 'Crime', 'Mystery', 'Suspense', 'Adult', 'Psychological Thriller']",2020
