title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
Starting at Zero,Jimi Hendrix,53961.0,39.6,10.21,3.57,0.99,2.58,"['Music', 'Biography', 'Nonfiction', 'Memoir', 'Art', 'American', 'Autobiography']",2013
A Sacred Storm,Theodore Brun,169965.0,57.71,7.5,3.0,0.79,2.21,"['Historical Fiction', 'Fantasy', 'Fiction', 'Sweden']",2018
Possessed,Tana Stone,66231.0,51.87,7.96,2.43,0.77,1.66,"['Science Fiction', 'Aliens', 'Romance', 'Science Fiction Romance', 'Fantasy', 'Erotica', 'Paranormal']",2020
Fugitives And Refugees,Chuck Palahniuk,36450.0,84.18,5.26,1.72,0.4,1.32,"['Nonfiction', 'Travel', 'Essays', 'History', 'Memoir', 'Biography', 'Reference']",2003
Rain Will Come,Thomas Holgate,84929.0,44.89,7.94,3.35,1.45,1.91,"['Mystery', 'Thriller', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense', 'Detective']",2020
Dark Star,Oliver Langmead,42506.0,67.19,7.26,2.14,0.57,1.57,"['Science Fiction', 'Poetry', 'Fiction', 'Noir', 'Crime', 'Science Fiction Fantasy', 'Detective']",2015
The Hardy Boys: Maximum Challenge,Franklin W. Dixon,28794.0,48.88,7.59,2.64,0.87,1.76,[],nan
The Memory Chalet,Tony Judt,46529.0,35.87,6.06,3.67,1.81,1.87,"['Memoir', 'Nonfiction', 'History', 'Essays', 'Biography', 'Autobiography', 'Biography Memoir']",2010
The Treadstone Transgression,Joshua Hood,88654.0,53.77,6.26,2.69,0.99,1.7,"['Espionage', 'Fiction', 'Suspense', 'Action', 'Thriller']",2022
Take Out,Margaret Maron,66235.0,53.67,7.85,2.93,0.97,1.95,"['Mystery', 'Mystery Thriller', 'Fiction', 'Audiobook', 'New York', 'Police', 'Contemporary']",2017
Shadow Magic,Sarah Chapman,215421.0,39.07,9.63,3.77,1.52,2.25,[],2019
Below Deck,Sophie Hardcastle,57945.0,85.68,6.63,2.67,0.68,1.99,"['Fiction', 'Contemporary', 'Literary Fiction', 'Adult', 'Australia', 'Romance', 'Audiobook']",2020
Ask For It,Sylvia Day,85767.0,48.55,7.32,3.33,1.34,1.99,"['Romance', 'Historical Romance', 'Historical', 'Erotica', 'Erotic Romance', 'Historical Fiction', 'Adult']",2006
Navy Wife,Debbie Macomber,62903.0,42.73,8.97,3.26,1.43,1.83,"['Romance', 'Contemporary Romance', 'Fiction', 'Chick Lit', 'Military Fiction', 'Contemporary', 'Military Romance']",1988
Ever Cursed,Corey Ann Haydu,77651.0,42.97,10.07,2.63,0.57,2.06,"['Fantasy', 'Young Adult', 'Retellings', 'Young Adult Fantasy', 'LGBT', 'Fairy Tales', 'Fiction']",2020
Every Good Boy Does Fine,Jeremy Denk,114868.0,48.73,6.51,2.66,0.7,1.96,"['Music', 'Memoir', 'Nonfiction', 'Biography', 'Biography Memoir', 'Audiobook', 'Autobiography']",2022
Scoop,Evelyn Waugh,64603.0,48.83,7.72,3.26,1.3,1.96,"['Fiction', 'Classics', 'Humor', 'Novels', 'British Literature', 'Journalism', 'Literature']",1938
Bone White Seeds,Matthew Smith,31048.0,41.89,8.76,3.4,1.59,1.81,[],nan
The Racehorse Who Learned to Dance,Clare Balding,41896.0,43.74,8.38,3.14,1.16,1.98,['Childrens'],2019
Final Girls,Mira Grant,29722.0,43.66,9.32,3.16,1.28,1.88,"['Horror', 'Science Fiction', 'Novella', 'Fiction', 'Short Stories', 'Zombies', 'Adult']",2017
The War of the Worlds,H. G. Wells,60108.0,66.75,5.83,3.05,1.36,1.69,"['Classics', 'Science Fiction', 'Fiction', 'Fantasy', 'Horror', 'Science Fiction Fantasy', 'Literature']",1897
