,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
1108,Sons of Fortune,Jeffrey Archer,159939.0,24.9,8.91,2.85,0.89,1.96,"['Fiction', 'Thriller', 'Historical Fiction', 'Drama', 'Mystery', 'Novels', 'Politics']",2002.0
1109,Goodnight Mind,Colleen E. Carney & Rachel Manber,33311.0,34.31,8.02,3.34,1.18,2.16,"['Nonfiction', 'Self Help', 'Health', 'Psychology', 'Science', 'Mental Health']",2013.0
1110,Crucible,James Rollins,123231.0,59.82,5.77,2.72,1.04,1.68,"['Thriller', 'Fiction', 'Adventure', 'Action', 'Science Fiction', 'Mystery', 'Mystery Thriller']",2019.0
1111,One Step Ahead,Audrey Walker,19968.0,28.98,10.51,3.49,0.93,2.56,['Psychological Thriller'],2021.0
1112,Dreaming in the Dark,James E. Wisher,97210.0,45.5,7.92,2.27,0.74,1.53,['Fantasy'],2018.0
1113,Floating Ink,James Livingood,11302.0,62.39,7.39,2.63,1.05,1.57,['Science Fiction'],2016.0
1114,Hunger,Lan Samantha Chang,55586.0,60.63,6.63,2.5,0.78,1.72,"['Short Stories', 'Fiction', 'Historical Fiction', 'China', 'Literary Fiction', 'Literature', 'Contemporary']",2000.0
1115,Out of the Ice,Ann Turner,92969.0,61.84,8.86,2.96,1.2,1.76,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Crime', 'Contemporary', 'Suspense']",2016.0
1116,Saint X,Alexis Schaitkin,113346.0,57.43,7.35,2.83,0.97,1.86,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Contemporary', 'Crime']",2020.0
1117,The Girls Are Good,Ilaria Bernardini,60481.0,48.72,8.46,3.23,0.66,2.57,"['Fiction', 'Contemporary', 'Coming Of Age', 'Young Adult', 'Suspense', 'Thriller', 'Sports']",2022.0
1118,"His Needs, Her Needs","Willard F. Hartley, Jr.",63451.0,18.0,7.83,3.48,1.45,2.03,"['Marriage', 'Relationships', 'Nonfiction', 'Self Help', 'Christian', 'Psychology', 'Family']",1986.0
